Code,Area,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,
E09000031,Waltham Forest,"55,000","53,000","57,000","58,000","57,000","60,000","65,000","65,000","68,000","71,500","70,000","74,408","74,000","77,000","81,995","84,995","88,000","96,000","100,000","101,500","107,500","112,250","122,500","125,250","131,995","142,500","158,000","160,000","165,000","167,000","176,650","180,000","180,000","185,625","195,000","195,000","189,995","200,000","200,000","199,995","205,000","210,000","220,000","225,000","230,000","237,000","247,500","247,000","240,000","242,000","230,000","210,000","210,000","207,500","217,750","217,750","230,000","225,000","235,000","230,000","228,500","228,000","235,500","239,750","230,000","249,997","246,500","242,500","244,000","250,000","272,500","282,500","287,250","300,000","335,000","350,000","335,000","365,000","390,000"
E09000032,Wandsworth,"86,500","92,500","98,000","93,500","96,225","106,250","115,000","110,000","115,000","124,975","131,000","126,000","130,000","145,000","165,000","167,000","175,000","182,500","188,000","185,000","190,500","207,950","212,250","200,000","203,000","236,750","245,000","243,000","235,000","237,250","240,000","249,000","249,950","264,000","277,500","250,000","263,000","277,450","285,000","280,000","285,000","302,000","325,000","330,000","339,975","355,000","378,787","355,500","355,000","360,000","355,000","325,000","315,000","340,000","360,000","365,000","364,740","370,750","397,500","375,000","375,000","387,500","409,000","382,500","390,000","403,000","435,000","430,000","415,000","450,000","495,000","475,000","519,520","535,000","551,300","525,000","525,000","525,000","605,000"
E09000033,Westminster,"125,000","132,000","137,875","142,500","147,250","164,950","174,000","161,750","170,000","190,000","180,000","172,750","210,000","205,205","225,000","230,000","249,950","260,000","250,000","270,000","262,000","275,000","289,950","290,000","295,000","320,000","319,500","330,000","315,000","325,000","327,500","335,000","337,429","350,000","352,500","355,000","368,000","375,000","388,000","375,000","400,000","435,000","415,000","400,000","443,500","465,000","485,000","515,001","499,000","491,000","495,000","500,000","450,000","490,000","499,000","535,000","585,000","557,500","575,000","615,000","600,000","627,500","605,000","570,000","550,000","650,000","625,000","725,000","695,000","750,625","747,475","705,000","775,000","881,951","942,500","899,500","869,400","879,875","865,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"80,000","85,000","91,000","89,200","92,500","101,000","105,000","102,000","106,500","119,500","121,000","115,000","125,000","138,000","152,000","150,000","160,000","170,000","172,500","173,500","176,250","185,000","190,000","185,000","190,000","215,000","223,000","222,000","212,500","220,000","227,000","230,000","230,000","243,000","248,000","242,500","245,255","250,000","250,000","249,950","250,000","275,000","280,000","280,000","294,950","315,000","325,000","315,000","310,000","320,000","323,000","296,000","300,000","315,000","330,000","330,000","342,000","350,000","362,322","347,000","354,742","360,000","370,000","350,000","332,000","380,000","380,000","375,000","365,000","399,000","425,000","416,250","440,000","475,000","480,000","467,500","470,000","485,000","521,000"
E13000002,Outer London,"70,000","73,000","75,000","75,000","75,000","79,000","83,000","84,500","85,000","90,000","92,000","91,500","94,500","103,000","110,000","114,950","118,000","126,500","129,570","128,000","130,000","138,000","147,000","145,500","150,000","163,250","175,995","180,000","182,000","186,000","194,500","196,000","196,000","210,000","216,000","215,000","211,000","217,500","220,000","220,000","220,000","228,000","235,500","235,000","238,000","245,000","250,000","250,000","249,950","249,995","249,950","234,995","225,500","230,000","242,000","240,000","249,995","250,000","260,000","250,000","250,000","250,000","264,000","250,000","249,950","272,500","275,000","269,950","265,000","275,000","285,000","285,000","292,000","315,000","330,000","326,000","325,275","342,000","370,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"41,850","44,500","45,000","45,000","45,000","47,000","47,500","47,000","46,000","48,570","48,500","49,950","47,000","50,000","52,000","52,000","49,995","52,000","52,500","52,000","49,000","54,995","56,250","56,950","55,000","59,950","63,000","67,000","63,500","74,950","80,000","85,000","83,450","96,000","102,000","101,000","95,000","105,000","110,000","114,000","111,000","119,375","120,000","121,000","119,000","123,000","123,500","124,000","119,000","122,500","120,000","115,000","110,000","120,000","121,000","127,500","115,000","124,950","125,000","121,998","115,000","119,500","117,000","118,000","115,000","119,950","122,000","120,000","117,500","123,260","124,000","124,000","122,000","128,000","129,950","130,000","120,000","125,000","125,000"
E12000002,North West,"44,500","46,150","47,500","47,500","47,000","49,950","50,000","49,500","48,500","51,000","52,000","51,000","49,950","53,000","55,000","55,000","54,000","56,800","57,000","57,000","56,500","59,995","62,950","61,500","61,500","69,500","73,500","74,950","74,000","81,950","87,500","92,500","92,000","106,000","115,000","114,000","110,000","116,000","119,950","120,000","119,950","126,250","129,950","132,000","128,500","135,000","136,000","136,000","129,500","130,500","130,000","125,000","120,000","125,000","131,252","135,000","123,000","132,000","135,000","129,950","124,645","125,000","130,000","128,000","127,000","126,000","132,500","130,000","125,000","130,000","135,000","135,000","131,500","139,950","141,000","140,000","133,000","139,000","142,000"
E12000003,Yorkshire And The Humber,"44,999","46,500","47,000","48,000","47,000","49,500","49,995","49,000","48,000","50,000","51,500","50,000","49,950","53,000","54,000","54,950","53,000","56,000","57,500","57,500","55,000","59,950","60,000","61,950","60,000","69,500","73,000","77,000","75,000","84,950","89,950","95,000","95,533","111,000","117,000","116,000","112,000","119,000","120,000","122,950","120,000","127,500","131,995","132,750","128,000","135,950","138,000","138,000","130,000","133,000","128,000","125,000","120,000","125,000","133,975","138,000","126,363","136,000","138,250","133,000","125,000","130,000","133,000","128,575","128,000","130,000","134,000","130,500","125,000","131,000","137,000","137,500","132,000","140,000","142,000","142,000","131,000","139,950","142,500"
E12000004,East Midlands,"45,000","47,000","48,500","49,000","48,000","50,500","51,950","52,000","50,750","54,000","54,750","54,000","54,000","57,000","58,950","59,917","58,950","61,500","64,000","64,500","64,000","69,950","72,000","73,000","74,000","82,500","88,000","93,000","92,995","103,000","110,000","116,000","116,000","125,000","132,000","132,000","129,000","130,000","132,500","134,950","130,000","136,000","139,950","140,000","139,500","145,000","146,000","146,000","138,500","140,000","139,950","131,000","126,500","130,500","136,000","140,000","132,000","140,000","142,000","139,950","132,000","136,000","138,000","137,000","135,000","136,000","140,000","139,995","135,000","140,000","144,498","145,000","142,000","150,000","154,950","154,950","148,000","155,000","156,725"
E12000005,East of England,"49,000","50,000","52,500","53,000","52,000","55,000","55,950","55,000","54,500","57,250","58,950","58,000","57,200","60,000","64,000","64,000","63,000","67,000","68,500","69,500","69,995","75,000","77,950","79,000","79,350","87,500","93,000","95,500","95,500","105,000","112,000","119,000","117,679","126,998","134,950","134,500","129,000","132,760","135,000","136,000","135,000","140,000","145,000","145,750","140,000","147,000","149,950","149,950","142,000","144,000","145,000","137,500","130,000","137,000","145,000","147,000","140,000","147,970","150,500","146,500","138,000","142,500","145,000","140,000","140,000","140,000","148,000","146,000","191,000","195,000","205,000","202,950","148,000","155,000","159,500","158,000","223,500","227,500","240,000"
